"X","SPECIMEN","lat","long","year","ShortMonth","date","res","nmonth","nm","year_nm","long.aea","lat.aea","dem"
73,"JEPS33259",37.562,-121.177,1962,"aug","13-Aug","nr",8,8,"1962_08",-103822.347638398,-49865.7634044457,15
74,"JEPS42868",38.711,-122.892,1923,"aug","26-Aug","nr",8,8,"1923_08",-251172.757159676,81048.1726218062,59
75,"JEPS42869",33.175651,-116.992677,1928,"aug","28-Aug","nr",8,8,"1928_08",280682.840446162,-533109.23036674,453
76,"JEPS42870",39.881,-122.199,1938,"jun","10-Jun","nr",6,6,"1938_06",-187982.124475269,209418.732832498,79
77,"JEPS42871",38.605,-122.859,1896,"oct","15-Oct","nr",10,10,"1896_10",-248662.80734208,69184.0352273495,28
78,"JEPS42872",39.882,-121.969,1927,"jun","25-Jun","nr",6,6,"1927_06",-168321.195654721,209097.616158531,61
79,"JEPS42873",37.68,-121.276,1923,"oct","22-Oct","nr",10,10,"1923_10",-112378.021544831,-36636.4152261503,12
80,"JEPS42874",39.525,-121.543,1939,"aug","17-Aug","nr",8,8,"1939_08",-132553.502829331,168762.84205088,89
81,"JEPS42875",38.79,-122.565,1938,"oct","1-Oct","nr",10,10,"1938_10",-222542.348876256,89008.7499256008,295
82,"JEPS45261",37.664,-120.46,1962,"jun","15-Jun","nr",6,6,"1962_06",-40522.1468451838,-39073.0129118222,60
83,"JEPS74993",37.693,-121.184,1971,"sep","15-Sep","nr",9,9,"1971_09",-104257.921361303,-35296.4837894905,12
84,"JEPS8225",37.35,-120.975,1954,"sep","3-Sep","nr",9,9,"1954_09",-86247.1153575998,-73633.4803204415,17
85,"JEPS8323",40.224,-122.312,1951,"jun","12-Jun","nr",6,6,"1951_06",-196711.043643519,247738.640928421,124
86,"JEPS88252",39.995,-122.236,1996,"may","27-May","nr",5,5,"1996_05",-190845.84240397,222153.650900419,96
87,"JEPS93834",39.605,-121.548,1998,"jul","1-Jul","nr",7,7,"1998_07",-132837.860925947,177658.000406707,414
