SPECIMEN,lat,long,year,ShortMonth,date,res
UCD74453,37.3,-120.916,1995,jul,30-Jul,nr
UCD74559,37.3,-120.916,1995,oct,15-Oct,nr
UCD80462,38.757,-121.033,2005,jun,14-Jun,nr
UCD99627,37.664,-120.46,1958,jun,8-Jun,nr
UCD99630,39.728,-121.702,1962,jun,1-Jun,nr
UCD99635,39.75,-121.843,2006,aug,2-Aug,nr
UCD99636,38.449,-120.893,2006,oct,23-Oct,nr
UCD99637,39.612,-121.606,1914,jun,2-Jun,nr
UCD99639,39.499,-121.536,1959,sep,20-Sep,nr
UCD99656,35.3689,-119.1455,1959,Jul,4-Jul,nr
UCD99658,35.6998,-118.4527,1972,Sep,23-Sep,r
UCD99660,35.5322,-119.2802,1972,Jul,7-Jul,nr
UCR110408,33.876,-117.053,1999,oct,15-Oct,nr
UCR113836,34.033,-117.383,2000,aug,5-Aug,nr
UCR182145,38.449,-120.893,2006,oct,23-Oct,nr
UCR18683,34.103,-117.308,1953,jun,26-Jun,nr
UCR207606,33.963,-117.34,2004,may,10-May,nr
UCR217706,33.826,-118.342,2010,aug,5-Aug,nr
UCR220109,38.65,-121.15,2005,jun,11-Jun,nr
UCR241168,38.525,-121.091,2012,oct,1-Oct,nr
UCR38867,35.508,-120.52,1983,oct,21-Oct,nr
UCR49979,37.543,-120.946,1987,jul,5-Jul,nr
UCR54669,34.756,-120.298,1970,sep,23-Sep,nr
UCR59473,33.866,-117.15,1989,jul,14-Jul,r
UCR77714,33.558,-117.116,1991,jun,14-Jun,nr
wb482-120,36.54492806,-118.8963574,1997,sep,9-Sep,r
xr328457,37.6932,-121.192,1993,jan,1-Jan,nr
